Y: income,D: partitipated in training,Z: assigned to training,X1: hsorged,X2: black,X3: hispanic,X4: married,X5: wkless13,X6: class_tr,X7: ojt_jsa,X8: age2225,X9: age2629,X10: age3035,X11: age3644,X12: age4554,X13: f2sms,X14: male dummy
48541,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1
3240,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1
4036,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
16419,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1
19541,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
9879,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1
25199,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1
5486,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
29780,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1
18888,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1
21035,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1
4038,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
20609,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1
21219,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1
31196,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1
126,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
1763,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1
3541,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1
4506,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1
2203,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
8372,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1
75,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1
9579,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
26525,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
8860,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1
43596,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1
56089,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1
16042,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
4310,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1
9962,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1
14459,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
35676,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1
24135,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
2612,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
698,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1
34593,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1
17171,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1
252,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
27431,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1
30,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1
0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1
2940,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1
1008,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
19501,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1
60007,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
13383,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
42547,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1
9285,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1
2769,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1
6119,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
8952,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1
11797,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1
51495,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
13500,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1
29458,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1
83989,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1
4881,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1
225,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1
2824,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1
17470,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1
10047,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1
4302,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1
5637,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
5992,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1
2993,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1
0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
14757,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1
11636,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
17739,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1
8284,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1
17038,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1
325,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1
17160,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1
7551,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
4939,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1956,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
9449,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
57159,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1
7898,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1
700,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1
35986,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1
21561,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
6489,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1
510,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1
62715,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1
0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1
4998,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1
43748,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1
14529,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
375,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1
2359,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1
690,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
1215,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1
42923,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
56776,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1
14362,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1
87243,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
30747,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1
62364,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1
31357,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1
17194,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1
861,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1
49490,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1
5199,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
14132,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
51183,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1
45354,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
79278,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1
22437,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
34373,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1
3379,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1
25767,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
24888,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1
3594,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1
63423,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1
24606,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1
68820,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
46253,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
41031,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1
321,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1
954,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
82217,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1
21616,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1
80166,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1
1596,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
